Date,Open,High,Low,Close,Volume,Market Cap
28-Nov-19,48.00,48.55,47.02,47.06,2662459127.00,2998875250.00
27-Nov-19,47.16,48.52,45.44,48.01,2979663352.00,3059223170.00
26-Nov-19,45.81,47.54,45.66,47.27,2659405400.00,3012041642.00
25-Nov-19,44.77,47.27,42.96,45.83,3408224795.00,2919784838.00
24-Nov-19,48.71,48.78,44.73,44.73,2709705879.00,2849656912.00
23-Nov-19,47.62,48.71,46.78,48.71,2746902870.00,3104760987.00
22-Nov-19,50.88,51.39,44.89,47.62,3734545939.00,3034882008.00
21-Nov-19,55.28,55.44,50.15,50.88,3158748317.00,3242806030.00
20-Nov-19,55.63,56.66,55.09,55.29,2858714058.00,3523320531.00
19-Nov-19,56.80,57.59,54.94,55.62,3030389859.00,3544160660.00
18-Nov-19,59.57,60.08,55.86,56.80,3131873188.00,3618749968.00
17-Nov-19,58.60,60.67,58.34,59.57,3215100478.00,3794900734.00
16-Nov-19,57.79,59.18,57.47,58.57,2841793395.00,3730285758.00
15-Nov-19,59.48,60.47,57.54,57.81,3195878562.00,3681894624.00
14-Nov-19,61.08,61.22,59.42,59.43,3040274519.00,3784543703.00
13-Nov-19,61.37,62.06,60.87,61.11,3094050321.00,3891188361.00
12-Nov-19,61.93,62.47,60.69,61.34,3333604208.00,3905317178.00
11-Nov-19,63.78,64.34,61.37,61.90,3033016472.00,3940458193.00
10-Nov-19,61.90,64.60,61.81,63.84,3611586094.00,4063643936.00
9-Nov-19,60.49,62.15,60.38,61.95,2849228741.00,3943126748.00
8-Nov-19,61.88,62.45,59.51,60.53,3414910991.00,3852007191.00
7-Nov-19,64.24,64.41,61.08,61.84,3557191963.00,3935124153.00
6-Nov-19,63.35,64.27,62.96,64.27,3755244863.00,4088991803.00
5-Nov-19,61.58,64.00,61.32,63.30,4725921529.00,4027051778.00
4-Nov-19,58.60,62.18,58.38,61.57,4164854559.00,3916584191.00
3-Nov-19,58.59,58.97,57.64,58.63,3259935586.00,3728676102.00
2-Nov-19,58.58,59.33,58.22,58.60,3353942166.00,3726483415.00
1-Nov-19,58.75,58.75,57.72,58.58,3425154368.00,3725245520.00
31-Oct-19,58.36,60.08,57.69,58.78,3165801278.00,3737406895.00
30-Oct-19,59.87,60.89,57.60,58.42,3387114095.00,3714109861.00
29-Oct-19,58.05,60.66,58.05,59.87,3582210705.00,3805805251.00
28-Oct-19,59.92,61.91,57.67,58.13,3793848576.00,3694652651.00
27-Oct-19,56.80,61.87,55.92,59.91,4218140032.00,3807830063.00
26-Oct-19,56.95,61.73,54.73,56.78,5234627157.00,3607985867.00
25-Oct-19,50.11,57.32,49.61,56.94,3770902916.00,3618037380.00
24-Oct-19,49.68,50.47,49.02,50.07,2650862714.00,3181078150.00
23-Oct-19,53.75,53.82,48.50,49.63,3077488277.00,3152820838.00
22-Oct-19,54.93,55.29,53.64,53.74,2490194232.00,3413955637.00
21-Oct-19,54.92,55.56,54.02,54.94,2727253951.00,3489419289.00
20-Oct-19,54.06,55.44,53.22,54.93,2612273453.00,3488800281.00
19-Oct-19,53.47,54.46,53.07,54.03,2453091268.00,3431292105.00
18-Oct-19,54.93,55.04,52.79,53.49,2683486531.00,3396445202.00
17-Oct-19,52.90,55.13,52.35,54.88,2925315824.00,3484535289.00
16-Oct-19,54.99,55.55,52.17,52.92,2978803244.00,3359652970.00
15-Oct-19,57.01,57.37,54.71,54.94,2602960066.00,3487585899.00
14-Oct-19,56.72,57.33,56.48,56.98,2243495397.00,3616122089.00
13-Oct-19,55.94,57.73,55.88,56.71,2235957909.00,3599137699.00
12-Oct-19,56.40,56.93,55.74,55.98,2098404880.00,3552381331.00
11-Oct-19,57.77,58.24,56.00,56.30,2441054545.00,3571918357.00
10-Oct-19,59.40,59.41,57.43,57.78,2440262585.00,3665380676.00
9-Oct-19,57.42,59.93,56.98,59.43,2790624239.00,3769908817.00
8-Oct-19,57.79,58.32,57.01,57.40,2417116506.00,3640571611.00
7-Oct-19,55.34,58.65,54.45,57.79,2891486029.00,3664860552.00
6-Oct-19,56.84,56.94,54.59,55.41,2381501439.00,3513746874.00
5-Oct-19,56.81,57.43,55.89,56.84,2063875681.00,3604148251.00
4-Oct-19,56.52,57.52,56.04,56.85,2292624175.00,3604329719.00
3-Oct-19,56.53,56.91,54.84,56.55,2221643896.00,3584521184.00
2-Oct-19,56.01,56.89,55.60,56.51,2113331224.00,3581752017.00
1-Oct-19,56.09,57.57,55.51,56.06,2325767310.00,3552792224.00
30-Sep-19,54.31,56.16,53.32,56.06,2241248501.00,3552325139.00
29-Sep-19,55.71,55.89,53.00,54.32,1825233237.00,3441861229.00
28-Sep-19,56.42,56.57,54.64,55.68,1975938676.00,3527794899.00
27-Sep-19,55.57,56.70,53.77,56.36,2324084589.00,3570419888.00
26-Sep-19,57.66,57.83,51.84,55.54,2663433163.00,3518070664.00
25-Sep-19,55.83,58.36,54.25,57.66,3360298410.00,3651789616.00
24-Sep-19,66.84,67.61,55.82,55.82,3919809840.00,3535218521.00
23-Sep-19,72.61,74.05,64.33,66.85,3215899051.00,4233164124.00
22-Sep-19,73.51,73.55,71.80,72.62,2494428147.00,4597645596.00
21-Sep-19,75.18,75.57,72.91,73.52,2572614027.00,4654112106.00
20-Sep-19,76.96,77.05,73.87,75.15,3148504140.00,4756922829.00
19-Sep-19,77.92,78.05,73.38,77.06,3778427056.00,4877292702.00
18-Sep-19,74.23,79.66,74.15,77.97,3665577129.00,4934275012.00
17-Sep-19,72.59,76.64,72.42,74.22,3104946341.00,4696563797.00
16-Sep-19,70.32,73.27,70.11,72.57,2652253522.00,4591727205.00
15-Sep-19,70.59,71.23,69.97,70.32,2330572400.00,4448378327.00
14-Sep-19,69.02,71.16,68.49,70.56,2439744085.00,4463527330.00
13-Sep-19,69.23,69.72,67.91,68.99,2368931048.00,4363467464.00
12-Sep-19,69.96,70.15,68.74,69.23,2316445209.00,4377939287.00
11-Sep-19,70.88,71.41,68.97,69.92,2569282757.00,4421472828.00
10-Sep-19,70.13,72.67,70.07,70.82,2893715133.00,4477994431.00
9-Sep-19,70.62,70.81,68.52,70.19,2654086135.00,4437564022.00
8-Sep-19,69.02,71.11,68.94,70.55,2776939870.00,4459610897.00
7-Sep-19,65.24,70.29,64.90,69.04,2763572250.00,4363628897.00
6-Sep-19,65.39,67.89,64.89,65.23,2595201216.00,4122321157.00
5-Sep-19,67.31,67.62,64.62,65.40,2379080140.00,4132391771.00
4-Sep-19,69.18,69.24,67.06,67.29,2696779274.00,4251369351.00
3-Sep-19,66.99,70.71,66.64,69.13,2816706430.00,4367373936.00
2-Sep-19,66.11,67.55,64.96,66.94,2400017919.00,4228918428.00
1-Sep-19,64.56,66.77,64.50,66.14,2228146663.00,4177872605.00
31-Aug-19,64.36,65.27,63.01,64.58,2283340831.00,4078358696.00
30-Aug-19,64.08,65.44,62.61,64.33,2377466438.00,4062542325.00
